dynamical_F_subnet_args_output_dim,dynamical_F_subnet_args_layers_num,solution_u_args_layers_num,dynamical_F_args_hidden_dim,dynamical_F_subnet_args_hidden_dim,spinn_enabled_dynamical_F,model_id,solution_u_args_hidden_dim,dynamical_F_subnet_args_activation,solution_u_subnet_args_hidden_dim,dynamical_F_args_dropout,solution_u_subnet_args_layers_num,dynamical_F_args_layers_num,solution_u_subnet_args_dropout,dynamical_F_subnet_args_dropout,num_params,solution_u_args_dropout,solution_u_subnet_args_activation,spinn_enabled_solution_u,dynamical_F_args_activation,solution_u_args_activation,solution_u_subnet_args_output_dim,mean_MAE,mean_MAPE,mean_RMSE
10.0,5.0,-1.0,-1.0,15.0,True,51,-1.0,leaky-relu,15.0,-1.0,5.0,-1.0,0.0,0.0,47372,-1.0,leaky-relu,True,-1,-1,10.0,0.006960549935077627,0.75507385,0.00933159466359907
15.0,5.0,-1.0,-1.0,23.0,True,81,-1.0,leaky-relu,23.0,-1.0,5.0,-1.0,0.0,0.0,107276,-1.0,leaky-relu,True,-1,-1,15.0,0.006968489304805796,0.7561865,0.009458535279892788
15.0,2.0,-1.0,-1.0,23.0,True,79,-1.0,leaky-relu,23.0,-1.0,5.0,-1.0,0.0,0.0,49316,-1.0,leaky-relu,True,-1,-1,15.0,0.006986355680661897,0.7570922,0.009521392914301045
15.0,3.0,-1.0,-1.0,23.0,True,53,-1.0,leaky-relu,15.0,-1.0,5.0,-1.0,0.0,0.0,49052,-1.0,leaky-relu,True,-1,-1,10.0,0.007213731606801351,0.7814804,0.009521665771686146
5.0,5.0,-1.0,-1.0,8.0,True,48,-1.0,leaky-relu,15.0,-1.0,5.0,-1.0,0.0,0.0,25217,-1.0,leaky-relu,True,-1,-1,10.0,0.006896292557939887,0.7493629,0.009530758153257443
15.0,3.0,-1.0,-1.0,23.0,True,80,-1.0,leaky-relu,23.0,-1.0,5.0,-1.0,0.0,0.0,68636,-1.0,leaky-relu,True,-1,-1,15.0,0.006963423375661175,0.7566762,0.00964912176900908
-1.0,-1.0,-1.0,60.0,-1.0,False,105,-1.0,-1,15.0,0.0,5.0,2.0,0.0,-1.0,17708,-1.0,leaky-relu,True,leaky-relu,-1,10.0,0.007061702432110906,0.76673955,0.009701495564971227
5.0,5.0,-1.0,-1.0,8.0,True,21,-1.0,leaky-relu,8.0,-1.0,5.0,-1.0,0.0,0.0,14456,-1.0,leaky-relu,True,-1,-1,5.0,0.007066222373396158,0.7678974,0.0097028493171272
10.0,5.0,-1.0,-1.0,15.0,True,78,-1.0,leaky-relu,23.0,-1.0,5.0,-1.0,0.0,0.0,66956,-1.0,leaky-relu,True,-1,-1,15.0,0.007157791328306,0.77806133,0.009756912305045565
15.0,2.0,-1.0,-1.0,23.0,True,52,-1.0,leaky-relu,15.0,-1.0,5.0,-1.0,0.0,0.0,29732,-1.0,leaky-relu,True,-1,-1,10.0,0.007178969137991468,0.779818,0.009785765710197574
