spinn_enabled_solution_u,spinn_enabled_dynamical_F,solution_u_subnet_args_output_dim,solution_u_subnet_args_layers_num,solution_u_subnet_args_hidden_dim,solution_u_subnet_args_dropout,solution_u_subnet_args_activation,dynamical_F_subnet_args_output_dim,dynamical_F_subnet_args_layers_num,dynamical_F_subnet_args_hidden_dim,dynamical_F_subnet_args_dropout,dynamical_F_subnet_args_activation,model_id,num_params,MAE,MAPE,RMSE,batch,solution_u_args_layers_num,solution_u_args_hidden_dim,solution_u_args_dropout,solution_u_args_activation,dynamical_F_args_layers_num,dynamical_F_args_hidden_dim,dynamical_F_args_dropout,dynamical_F_args_activation
True,True,5.0,5.0,8.0,0.0,leaky-relu,10.0,3.0,15.0,0.0,leaky-relu,23,19811,0.0038970070891082287,0.4258024,0.005005016557720755,0-0,,,,,,,,
True,True,15.0,5.0,23.0,0.0,leaky-relu,15.0,2.0,23.0,0.0,leaky-relu,79,49316,0.0037718082312494516,0.4140148,0.005025929698473871,0-0,,,,,,,,
True,True,5.0,3.0,8.0,0.0,leaky-relu,10.0,3.0,15.0,0.0,leaky-relu,14,17363,0.003968343138694763,0.4310064,0.0051723642909558476,0-0,,,,,,,,
True,True,10.0,3.0,15.0,0.0,leaky-relu,15.0,2.0,23.0,0.0,leaky-relu,43,21572,0.0039001621771603823,0.42884526,0.005231344974645368,0-0,,,,,,,,
True,True,10.0,5.0,15.0,0.0,leaky-relu,15.0,2.0,23.0,0.0,leaky-relu,52,29732,0.0039019929245114326,0.4275871,0.005251435658452714,0-0,,,,,,,,
True,True,5.0,5.0,8.0,0.0,leaky-relu,10.0,5.0,15.0,0.0,leaky-relu,24,36611,0.004205204546451569,0.46051642,0.005323477006229216,0-0,,,,,,,,
True,False,5.0,5.0,8.0,0.0,leaky-relu,,,,,,84,5467,0.004018773790448904,0.44010305,0.005418157760272777,0-0,,,,,2.0,20.0,0.0,leaky-relu
True,True,15.0,5.0,23.0,0.0,leaky-relu,10.0,5.0,15.0,0.0,leaky-relu,78,66956,0.004273041617125273,0.46764472,0.005421556373182348,0-0,,,,,,,,
True,True,15.0,5.0,23.0,0.0,leaky-relu,10.0,3.0,15.0,0.0,leaky-relu,77,50156,0.004524088464677334,0.49175727,0.0054293147041021336,0-0,,,,,,,,
True,False,5.0,3.0,8.0,0.0,leaky-relu,,,,,,101,4499,0.004371774848550558,0.47536594,0.005434528133079986,0-0,,,,,2.0,60.0,0.0,leaky-relu
True,True,15.0,5.0,23.0,0.0,leaky-relu,15.0,5.0,23.0,0.0,leaky-relu,81,107276,0.004265930969268084,0.46744123,0.00545090473662433,0-0,,,,,,,,
True,True,10.0,5.0,15.0,0.0,leaky-relu,10.0,5.0,15.0,0.0,leaky-relu,51,47372,0.00423587579280138,0.46390364,0.005460203646174192,0-0,,,,,,,,
True,True,10.0,5.0,15.0,0.0,leaky-relu,15.0,5.0,23.0,0.0,leaky-relu,54,87692,0.0041962130926549435,0.45896363,0.005484607111431373,0-0,,,,,,,,
True,True,15.0,5.0,23.0,0.0,leaky-relu,10.0,2.0,15.0,0.0,leaky-relu,76,41756,0.004526503849774599,0.49031922,0.005501127265981362,0-0,,,,,,,,
True,False,5.0,3.0,8.0,0.0,leaky-relu,,,,,,83,3019,0.0041443235240876675,0.45211968,0.005563872946699625,0-0,,,,,2.0,20.0,0.0,leaky-relu
True,True,10.0,5.0,15.0,0.0,leaky-relu,15.0,3.0,23.0,0.0,leaky-relu,53,49052,0.004564670845866203,0.49784413,0.005571188396606738,0-0,,,,,,,,
True,False,10.0,3.0,15.0,0.0,leaky-relu,,,,,,113,8488,0.004292041063308716,0.46787566,0.005579820555514523,0-0,,,,,3.0,20.0,0.0,leaky-relu
True,False,15.0,5.0,23.0,0.0,leaky-relu,,,,,,135,40952,0.004193372558802366,0.46099177,0.0055914965370544465,0-0,,,,,3.0,60.0,0.0,leaky-relu
True,False,15.0,5.0,23.0,0.0,leaky-relu,,,,,,90,35812,0.004247953183948994,0.46765268,0.005636920013510011,0-0,,,,,2.0,20.0,0.0,leaky-relu
True,False,10.0,5.0,15.0,0.0,leaky-relu,,,,,,96,16968,0.00436968682333827,0.48042965,0.005700552947040106,0-0,,,,,2.0,40.0,0.0,leaky-relu
True,True,10.0,5.0,15.0,0.0,leaky-relu,5.0,5.0,8.0,0.0,leaky-relu,48,25217,0.004309026058763266,0.4727527,0.005717920405598614,0-0,,,,,,,,
True,True,10.0,5.0,15.0,0.0,leaky-relu,5.0,3.0,8.0,0.0,leaky-relu,47,20177,0.004506170284003019,0.49239314,0.005743222469261652,0-0,,,,,,,,
True,False,10.0,5.0,15.0,0.0,leaky-relu,,,,,,132,21368,0.004612539429217577,0.50290155,0.005797510652481083,0-0,,,,,3.0,60.0,0.0,leaky-relu
True,False,10.0,5.0,15.0,0.0,leaky-relu,,,,,,105,17708,0.004585030488669872,0.49924538,0.005802059235501727,0-0,,,,,2.0,60.0,0.0,leaky-relu
True,False,5.0,5.0,8.0,0.0,leaky-relu,,,,,,102,6947,0.0044613853096961975,0.49131125,0.005807472553199316,0-0,,,,,2.0,60.0,0.0,leaky-relu
True,True,10.0,3.0,15.0,0.0,leaky-relu,10.0,5.0,15.0,0.0,leaky-relu,42,39212,0.004283927381038666,0.4683146,0.005812486532178716,0-0,,,,,,,,
True,True,5.0,2.0,8.0,0.0,leaky-relu,5.0,2.0,8.0,0.0,leaky-relu,1,3224,0.00422539422288537,0.4628391,0.005814037281418731,0-0,,,,,,,,
True,False,10.0,5.0,15.0,0.0,leaky-relu,,,,,,123,18608,0.004260751884430647,0.4683013,0.005818038031383709,0-0,,,,,3.0,40.0,0.0,leaky-relu
True,True,15.0,5.0,23.0,0.0,leaky-relu,5.0,5.0,8.0,0.0,leaky-relu,75,44801,0.004694953560829163,0.51251554,0.005870944573918541,0-0,,,,,,,,
True,True,5.0,3.0,8.0,0.0,leaky-relu,15.0,5.0,23.0,0.0,leaky-relu,18,74483,0.00442796153947711,0.48164093,0.005880712485347649,0-0,,,,,,,,
True,True,10.0,5.0,15.0,0.0,leaky-relu,10.0,2.0,15.0,0.0,leaky-relu,49,22172,0.004326710477471352,0.47503576,0.005887300286523768,0-0,,,,,,,,
True,True,10.0,3.0,15.0,0.0,leaky-relu,5.0,3.0,8.0,0.0,leaky-relu,38,12017,0.004302384331822395,0.46974245,0.0058878007939612165,0-0,,,,,,,,
True,True,15.0,5.0,23.0,0.0,leaky-relu,5.0,2.0,8.0,0.0,leaky-relu,73,37241,0.004620857071131468,0.5017157,0.005914726859971121,0-0,,,,,,,,
True,False,5.0,5.0,8.0,0.0,leaky-relu,,,,,,111,5887,0.0044273557141423225,0.49106935,0.005938485171282488,0-0,,,,,3.0,20.0,0.0,leaky-relu
True,False,10.0,5.0,15.0,0.0,leaky-relu,,,,,,159,28688,0.004401064943522215,0.48282844,0.005948666913391195,0-0,,,,,5.0,60.0,0.0,leaky-relu
True,False,15.0,5.0,23.0,0.0,leaky-relu,,,,,,153,41472,0.004353458061814308,0.47993153,0.005971386477597364,0-0,,,,,5.0,40.0,0.0,leaky-relu
True,False,5.0,3.0,8.0,0.0,leaky-relu,,,,,,137,4279,0.004469158127903938,0.48864424,0.005973880774778045,0-0,,,,,5.0,20.0,0.0,leaky-relu
True,False,15.0,5.0,23.0,0.0,leaky-relu,,,,,,126,38192,0.004492803476750851,0.49488735,0.006003097045759102,0-0,,,,,3.0,40.0,0.0,leaky-relu
True,True,15.0,5.0,23.0,0.0,leaky-relu,15.0,3.0,23.0,0.0,leaky-relu,80,68636,0.004537549335509539,0.49400422,0.006085835121007389,0-0,,,,,,,,
True,True,10.0,3.0,15.0,0.0,leaky-relu,10.0,3.0,15.0,0.0,leaky-relu,41,22412,0.00418058643117547,0.45572695,0.006093361275528517,0-0,,,,,,,,
True,False,15.0,3.0,23.0,0.0,leaky-relu,,,,,,107,18524,0.0047875214368104935,0.51873857,0.006099793073806274,0-0,,,,,2.0,60.0,0.0,leaky-relu
True,False,15.0,5.0,23.0,0.0,leaky-relu,,,,,,117,36232,0.004510123748332262,0.49719125,0.00611853361250489,0-0,,,,,3.0,20.0,0.0,leaky-relu
True,True,15.0,3.0,23.0,0.0,leaky-relu,5.0,5.0,8.0,0.0,leaky-relu,66,26033,0.004572917707264423,0.49917045,0.006137799890495197,0-0,,,,,,,,
True,False,10.0,3.0,15.0,0.0,leaky-relu,,,,,,104,9548,0.004739707801491022,0.5144819,0.006197909352049632,0-0,,,,,2.0,60.0,0.0,leaky-relu
True,True,10.0,5.0,15.0,0.0,leaky-relu,10.0,3.0,15.0,0.0,leaky-relu,50,30572,0.004645615350455046,0.51240003,0.006207236896571827,0-0,,,,,,,,
True,False,5.0,5.0,8.0,0.0,leaky-relu,,,,,,120,7847,0.004660488571971655,0.5123111,0.006232542646008858,0-0,,,,,3.0,40.0,0.0,leaky-relu
True,False,5.0,5.0,8.0,0.0,leaky-relu,,,,,,93,6207,0.0046949186362326145,0.5179902,0.00623549054479334,0-0,,,,,2.0,40.0,0.0,leaky-relu
True,False,10.0,5.0,15.0,0.0,leaky-relu,,,,,,150,21888,0.004631347488611937,0.50774074,0.006245248087528192,0-0,,,,,5.0,40.0,0.0,leaky-relu
True,False,15.0,5.0,23.0,0.0,leaky-relu,,,,,,162,48272,0.004584840033203363,0.504987,0.006248548935755544,0-0,,,,,5.0,60.0,0.0,leaky-relu
True,False,15.0,5.0,23.0,0.0,leaky-relu,,,,,,99,36552,0.004937078803777695,0.5384475,0.006285397922165698,0-0,,,,,2.0,40.0,0.0,leaky-relu
True,True,15.0,3.0,23.0,0.0,leaky-relu,15.0,5.0,23.0,0.0,leaky-relu,72,88508,0.005118219647556543,0.5545603,0.006292390837637466,0-0,,,,,,,,
True,False,5.0,2.0,8.0,0.0,leaky-relu,,,,,,91,2535,0.004741420038044453,0.5148714,0.006315644347781835,0-0,,,,,2.0,40.0,0.0,leaky-relu
True,False,10.0,5.0,15.0,0.0,leaky-relu,,,,,,141,17488,0.004699596203863621,0.51749843,0.00632282216792488,0-0,,,,,5.0,20.0,0.0,leaky-relu
True,False,10.0,5.0,15.0,0.0,leaky-relu,,,,,,87,16228,0.004939406644552946,0.5387325,0.006324074630088449,0-0,,,,,2.0,20.0,0.0,leaky-relu
True,True,10.0,3.0,15.0,0.0,leaky-relu,15.0,3.0,23.0,0.0,leaky-relu,44,40892,0.005040846765041351,0.54468703,0.006330612229712102,0-0,,,,,,,,
True,False,15.0,5.0,23.0,0.0,leaky-relu,,,,,,144,37072,0.004840338137000799,0.5321328,0.006365874571877392,0-0,,,,,5.0,20.0,0.0,leaky-relu
True,False,15.0,5.0,23.0,0.0,leaky-relu,,,,,,108,37292,0.004843004513531923,0.52856386,0.006366829731351961,0-0,,,,,2.0,60.0,0.0,leaky-relu
True,True,5.0,5.0,8.0,0.0,leaky-relu,5.0,5.0,8.0,0.0,leaky-relu,21,14456,0.004687535110861063,0.51539046,0.00638055186680822,0-0,,,,,,,,
False,True,,,,,,15.0,5.0,23.0,0.0,leaky-relu,243,84326,0.00431987876072526,0.4764811,0.006407242281881683,0-0,5.0,60.0,0.0,leaky-relu,,,,
True,False,5.0,3.0,8.0,0.0,leaky-relu,,,,,,110,3439,0.004630335606634617,0.4986276,0.006434381458422726,0-0,,,,,3.0,20.0,0.0,leaky-relu
True,False,10.0,3.0,15.0,0.0,leaky-relu,,,,,,140,9328,0.004842487163841724,0.53122723,0.0065115812434752285,0-0,,,,,5.0,20.0,0.0,leaky-relu
True,True,5.0,5.0,8.0,0.0,leaky-relu,15.0,5.0,23.0,0.0,leaky-relu,27,76931,0.004873878788203001,0.5380608,0.006538988384355339,0-0,,,,,,,,
True,False,5.0,5.0,8.0,0.0,leaky-relu,,,,,,129,10607,0.004995934199541807,0.5453029,0.006542745462297755,0-0,,,,,3.0,60.0,0.0,leaky-relu
True,False,15.0,3.0,23.0,0.0,leaky-relu,,,,,,125,19424,0.004775268957018852,0.5215369,0.006549123104356752,0-0,,,,,3.0,40.0,0.0,leaky-relu
True,False,5.0,5.0,8.0,0.0,leaky-relu,,,,,,147,11127,0.004980341996997595,0.5467993,0.006557255997371706,0-0,,,,,5.0,40.0,0.0,leaky-relu
True,True,5.0,5.0,8.0,0.0,leaky-relu,15.0,2.0,23.0,0.0,leaky-relu,25,18971,0.004865072201937437,0.5340147,0.00655856519941951,0-0,,,,,,,,
True,False,5.0,3.0,8.0,0.0,leaky-relu,,,,,,155,15479,0.0046915472485125065,0.51242673,0.0065784462640927155,0-0,,,,,5.0,60.0,0.0,leaky-relu
True,False,15.0,3.0,23.0,0.0,leaky-relu,,,,,,98,17784,0.004981434904038906,0.5414731,0.00658475010218052,0-0,,,,,2.0,40.0,0.0,leaky-relu
