dynamical_F_subnet_args_hidden_dim,dynamical_F_subnet_args_activation,solution_u_subnet_args_hidden_dim,solution_u_subnet_args_activation,spinn_enabled_dynamical_F,solution_u_args_layers_num,dynamical_F_subnet_args_output_dim,solution_u_args_hidden_dim,dynamical_F_args_dropout,dynamical_F_subnet_args_dropout,solution_u_args_dropout,model_id,dynamical_F_subnet_args_layers_num,solution_u_subnet_args_dropout,solution_u_args_activation,dynamical_F_args_activation,solution_u_subnet_args_layers_num,solution_u_subnet_args_output_dim,num_params,dynamical_F_args_hidden_dim,spinn_enabled_solution_u,dynamical_F_args_layers_num,mean_MAE,mean_MAPE,mean_RMSE
15.0,leaky-relu,15.0,leaky-relu,True,-1.0,10.0,-1.0,-1.0,0.0,-1.0,51,5.0,0.0,-1,-1,5.0,10.0,47372,-1.0,True,-1.0,0.006960549935077584,0.755073835,0.009331594663599016
23.0,sin,23.0,sin,True,-1.0,15.0,-1.0,-1.0,0.0,-1.0,2,5.0,0.0,-1,-1,5.0,15.0,107276,-1.0,True,-1.0,0.007002891041338444,0.7602198968331019,0.009405716478406637
23.0,sin,15.0,sin,True,-1.0,15.0,-1.0,-1.0,0.0,-1.0,4,3.0,0.0,-1,-1,5.0,10.0,49052,-1.0,True,-1.0,0.006903458309049408,0.7491038839022318,0.009415243470974872
23.0,leaky-relu,23.0,leaky-relu,True,-1.0,15.0,-1.0,-1.0,0.0,-1.0,81,5.0,0.0,-1,-1,5.0,15.0,107276,-1.0,True,-1.0,0.006968489304805717,0.75618646,0.00945853527989275
23.0,leaky-relu,23.0,leaky-relu,True,-1.0,15.0,-1.0,-1.0,0.0,-1.0,79,2.0,0.0,-1,-1,5.0,15.0,49316,-1.0,True,-1.0,0.006986355680661833,0.7570921866666667,0.009521392914301
23.0,leaky-relu,15.0,leaky-relu,True,-1.0,15.0,-1.0,-1.0,0.0,-1.0,53,3.0,0.0,-1,-1,5.0,10.0,49052,-1.0,True,-1.0,0.0072137316068013,0.7814803966666667,0.009521665771686116
8.0,leaky-relu,15.0,leaky-relu,True,-1.0,5.0,-1.0,-1.0,0.0,-1.0,48,5.0,0.0,-1,-1,5.0,10.0,25217,-1.0,True,-1.0,0.006896292557939834,0.7493628766666666,0.009530758153257384
23.0,leaky-relu,23.0,leaky-relu,True,-1.0,15.0,-1.0,-1.0,0.0,-1.0,80,3.0,0.0,-1,-1,5.0,15.0,68636,-1.0,True,-1.0,0.006963423375661117,0.7566762133333333,0.009649121769009018
23.0,sin,15.0,sin,True,-1.0,15.0,-1.0,-1.0,0.0,-1.0,11,5.0,0.0,-1,-1,5.0,10.0,87692,-1.0,True,-1.0,0.007038148275266091,0.7641703436772028,0.009691987789515273
-1.0,-1,15.0,leaky-relu,False,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,105,-1.0,0.0,-1,leaky-relu,5.0,10.0,17708,60.0,True,2.0,0.00706170243211085,0.7667395666666668,0.009701495564971184
8.0,leaky-relu,8.0,leaky-relu,True,-1.0,5.0,-1.0,-1.0,0.0,-1.0,21,5.0,0.0,-1,-1,5.0,5.0,14456,-1.0,True,-1.0,0.0070662223733961,0.7678974833333333,0.009702849317127166
23.0,sin,8.0,sin,True,-1.0,15.0,-1.0,-1.0,0.0,-1.0,15,3.0,0.0,-1,-1,5.0,5.0,38291,-1.0,True,-1.0,0.007091363503908117,0.7703893780708313,0.009755958748888573
15.0,leaky-relu,23.0,leaky-relu,True,-1.0,10.0,-1.0,-1.0,0.0,-1.0,78,5.0,0.0,-1,-1,5.0,15.0,66956,-1.0,True,-1.0,0.007157791328305934,0.7780613083333333,0.009756912305045516
23.0,leaky-relu,15.0,leaky-relu,True,-1.0,15.0,-1.0,-1.0,0.0,-1.0,52,2.0,0.0,-1,-1,5.0,10.0,29732,-1.0,True,-1.0,0.007178969137991434,0.7798179533333333,0.009785765710197515
23.0,leaky-relu,15.0,leaky-relu,True,-1.0,15.0,-1.0,-1.0,0.0,-1.0,54,5.0,0.0,-1,-1,5.0,10.0,87692,-1.0,True,-1.0,0.007263701952372934,0.7887880416666667,0.009790065325183783
15.0,leaky-relu,23.0,leaky-relu,True,-1.0,10.0,-1.0,-1.0,0.0,-1.0,77,3.0,0.0,-1,-1,5.0,15.0,50156,-1.0,True,-1.0,0.007307558165242217,0.791406655,0.009810604452670466
-1.0,-1,8.0,leaky-relu,False,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,147,-1.0,0.0,-1,leaky-relu,5.0,5.0,11127,40.0,True,5.0,0.007075227176149634,0.769100865,0.009820117858742067
15.0,sin,23.0,sin,True,-1.0,10.0,-1.0,-1.0,0.0,-1.0,9,5.0,0.0,-1,-1,5.0,15.0,66956,-1.0,True,-1.0,0.007164231035858393,0.7789429426193237,0.009838113525203656
15.0,sin,23.0,sin,True,-1.0,10.0,-1.0,-1.0,0.0,-1.0,12,3.0,0.0,-1,-1,5.0,15.0,50156,-1.0,True,-1.0,0.007394302946825822,0.7999585171540579,0.009842738633290533
-1.0,-1,15.0,leaky-relu,False,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,159,-1.0,0.0,-1,leaky-relu,5.0,10.0,28688,60.0,True,5.0,0.007245734644432816,0.7842539300000001,0.00985095673714715
23.0,sin,23.0,sin,True,-1.0,15.0,-1.0,-1.0,0.0,-1.0,6,3.0,0.0,-1,-1,5.0,15.0,68636,-1.0,True,-1.0,0.007127591719230016,0.7735438744227091,0.009874339427096257
23.0,leaky-relu,8.0,leaky-relu,True,-1.0,15.0,-1.0,-1.0,0.0,-1.0,26,3.0,0.0,-1,-1,5.0,5.0,38291,-1.0,True,-1.0,0.007181565122057933,0.7778088766666666,0.00988663139758545
-1.0,-1,23.0,leaky-relu,False,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,126,-1.0,0.0,-1,leaky-relu,5.0,15.0,38192,40.0,True,3.0,0.007163718653221883,0.7777044916666666,0.009947153891553033
15.0,leaky-relu,15.0,leaky-relu,True,-1.0,10.0,-1.0,-1.0,0.0,-1.0,50,3.0,0.0,-1,-1,5.0,10.0,30572,-1.0,True,-1.0,0.007331068937977101,0.7970521916666667,0.009989807927999134
-1.0,-1,8.0,leaky-relu,False,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,120,-1.0,0.0,-1,leaky-relu,5.0,5.0,7847,40.0,True,3.0,0.007409350713714899,0.8034208266666667,0.009999882693395698
8.0,leaky-relu,8.0,leaky-relu,True,-1.0,5.0,-1.0,-1.0,0.0,-1.0,20,3.0,0.0,-1,-1,5.0,5.0,9416,-1.0,True,-1.0,0.0076888166368007,0.8325354016666666,0.010006172739682217
8.0,leaky-relu,15.0,leaky-relu,True,-1.0,5.0,-1.0,-1.0,0.0,-1.0,47,3.0,0.0,-1,-1,5.0,10.0,20177,-1.0,True,-1.0,0.007611423963680833,0.8218569566666667,0.010008503046802035
-1.0,-1,15.0,sin,False,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,7,-1.0,0.0,-1,sin,5.0,10.0,17708,60.0,True,2.0,0.007370235786462824,0.8007023483514786,0.010061858116826744
8.0,leaky-relu,23.0,leaky-relu,True,-1.0,5.0,-1.0,-1.0,0.0,-1.0,75,5.0,0.0,-1,-1,5.0,15.0,44801,-1.0,True,-1.0,0.007241672137752116,0.7874137766666666,0.010078729890153815
23.0,leaky-relu,15.0,leaky-relu,True,-1.0,15.0,-1.0,-1.0,0.0,-1.0,43,2.0,0.0,-1,-1,3.0,10.0,21572,-1.0,True,-1.0,0.0073351227911188505,0.7949560433333334,0.010080696962755849
-1.0,-1,23.0,leaky-relu,False,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,135,-1.0,0.0,-1,leaky-relu,5.0,15.0,40952,60.0,True,3.0,0.0072395140305161,0.7879225316666667,0.0100907784853337
15.0,leaky-relu,15.0,leaky-relu,True,-1.0,10.0,-1.0,-1.0,0.0,-1.0,49,2.0,0.0,-1,-1,5.0,10.0,22172,-1.0,True,-1.0,0.00742192481023565,0.805858035,0.010101659980836617
-1.0,-1,8.0,leaky-relu,False,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,129,-1.0,0.0,-1,leaky-relu,5.0,5.0,10607,60.0,True,3.0,0.007235739535341616,0.7876582016666666,0.010109312259468617
-1.0,-1,8.0,leaky-relu,False,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,101,-1.0,0.0,-1,leaky-relu,3.0,5.0,4499,60.0,True,2.0,0.007310547633096517,0.7932475000000001,0.010113544081479934
-1.0,-1,8.0,leaky-relu,False,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,84,-1.0,0.0,-1,leaky-relu,5.0,5.0,5467,20.0,True,2.0,0.00728860590606925,0.7901896700000001,0.01011371703037035
-1.0,-1,15.0,leaky-relu,False,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,96,-1.0,0.0,-1,leaky-relu,5.0,10.0,16968,40.0,True,2.0,0.007253641417870867,0.7884048966666667,0.0101184328341452
-1.0,-1,23.0,leaky-relu,False,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,99,-1.0,0.0,-1,leaky-relu,5.0,15.0,36552,40.0,True,2.0,0.0073070742655545,0.7939759,0.01013895284291005
-1.0,-1,23.0,leaky-relu,False,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,153,-1.0,0.0,-1,leaky-relu,5.0,15.0,41472,40.0,True,5.0,0.007390895082304851,0.8034483150000001,0.01014161623410465
-1.0,-1,8.0,leaky-relu,False,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,156,-1.0,0.0,-1,leaky-relu,5.0,5.0,17927,60.0,True,5.0,0.007329630044599334,0.79547794,0.010143321804288667
-1.0,-1,15.0,leaky-relu,False,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,132,-1.0,0.0,-1,leaky-relu,5.0,10.0,21368,60.0,True,3.0,0.00735823414288455,0.7995526783333333,0.010162646251042084
23.0,leaky-relu,15.0,leaky-relu,True,-1.0,15.0,-1.0,-1.0,0.0,-1.0,44,3.0,0.0,-1,-1,3.0,10.0,40892,-1.0,True,-1.0,0.00732650894982115,0.79313333,0.010169824802733434
15.0,sin,15.0,sin,True,-1.0,10.0,-1.0,-1.0,0.0,-1.0,1,5.0,0.0,-1,-1,5.0,10.0,47372,-1.0,True,-1.0,0.007419119744251172,0.8027586142222086,0.010184193240469427
-1.0,-1,23.0,leaky-relu,False,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,134,-1.0,0.0,-1,leaky-relu,3.0,15.0,22184,60.0,True,3.0,0.007096875847006783,0.7701133666666666,0.010186381746495
23.0,leaky-relu,8.0,leaky-relu,True,-1.0,15.0,-1.0,-1.0,0.0,-1.0,27,5.0,0.0,-1,-1,5.0,5.0,76931,-1.0,True,-1.0,0.007666138078396484,0.8308904500000001,0.010187060497465967
-1.0,-1,15.0,leaky-relu,False,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,141,-1.0,0.0,-1,leaky-relu,5.0,10.0,17488,20.0,True,5.0,0.007367896614596217,0.8019663349999999,0.010243180552510216
