spinn_enabled_solution_u,spinn_enabled_dynamical_F,solution_u_subnet_args_output_dim,solution_u_subnet_args_layers_num,solution_u_subnet_args_hidden_dim,solution_u_subnet_args_dropout,solution_u_subnet_args_activation,dynamical_F_args_layers_num,dynamical_F_args_hidden_dim,dynamical_F_args_dropout,dynamical_F_args_activation,model_id,num_params,MAE,MAPE,RMSE,batch,dynamical_F_subnet_args_output_dim,dynamical_F_subnet_args_layers_num,dynamical_F_subnet_args_hidden_dim,dynamical_F_subnet_args_dropout,dynamical_F_subnet_args_activation,solution_u_args_layers_num,solution_u_args_hidden_dim,solution_u_args_dropout,solution_u_args_activation
True,True,5.0,5.0,8.0,0.0,leaky-relu,,,,,23,19811,0.0038970070891082,0.4258024,0.0050050165577207,0-0,10.0,3.0,15.0,0.0,leaky-relu,,,,
True,True,10.0,5.0,15.0,0.0,sin,,,,,11,87692,0.004242090042680502,0.45983871817588806,0.0050116580731844424,0-0,15.0,5.0,23.0,0.0,sin,,,,
True,True,15.0,5.0,23.0,0.0,leaky-relu,,,,,79,49316,0.0037718082312494,0.4140148,0.0050259296984738,0-0,15.0,2.0,23.0,0.0,leaky-relu,,,,
True,True,5.0,3.0,8.0,0.0,leaky-relu,,,,,14,17363,0.0039683431386947,0.4310064,0.0051723642909558,0-0,10.0,3.0,15.0,0.0,leaky-relu,,,,
True,True,10.0,5.0,15.0,0.0,sin,,,,,4,49052,0.0040594530291855335,0.4427797198295593,0.005230377904576765,0-0,15.0,3.0,23.0,0.0,sin,,,,
True,True,10.0,3.0,15.0,0.0,leaky-relu,,,,,43,21572,0.0039001621771603,0.42884526,0.0052313449746453,0-0,15.0,2.0,23.0,0.0,leaky-relu,,,,
True,True,10.0,5.0,15.0,0.0,leaky-relu,,,,,52,29732,0.0039019929245114,0.4275871,0.0052514356584527,0-0,15.0,2.0,23.0,0.0,leaky-relu,,,,
True,True,5.0,5.0,8.0,0.0,leaky-relu,,,,,24,36611,0.0042052045464515,0.46051642,0.0053234770062292,0-0,10.0,5.0,15.0,0.0,leaky-relu,,,,
True,True,15.0,5.0,23.0,0.0,sin,,,,,2,107276,0.004246634431183338,0.46457722783088684,0.005397055544713249,0-0,15.0,5.0,23.0,0.0,sin,,,,
True,False,5.0,5.0,8.0,0.0,leaky-relu,2.0,20.0,0.0,leaky-relu,84,5467,0.0040187737904489,0.44010305,0.0054181577602727,0-0,,,,,,,,,
True,True,15.0,5.0,23.0,0.0,leaky-relu,,,,,78,66956,0.0042730416171252,0.46764472,0.0054215563731823,0-0,10.0,5.0,15.0,0.0,leaky-relu,,,,
True,True,15.0,5.0,23.0,0.0,leaky-relu,,,,,77,50156,0.0045240884646773,0.49175727,0.0054293147041021,0-0,10.0,3.0,15.0,0.0,leaky-relu,,,,
True,True,15.0,5.0,23.0,0.0,sin,,,,,9,66956,0.004286952316761017,0.4701235890388489,0.005431119049424717,0-0,10.0,5.0,15.0,0.0,sin,,,,
True,False,5.0,3.0,8.0,0.0,leaky-relu,2.0,60.0,0.0,leaky-relu,101,4499,0.0043717748485505,0.47536594,0.0054345281330799,0-0,,,,,,,,,
True,True,15.0,5.0,23.0,0.0,leaky-relu,,,,,81,107276,0.004265930969268,0.46744123,0.0054509047366243,0-0,15.0,5.0,23.0,0.0,leaky-relu,,,,
True,True,15.0,5.0,23.0,0.0,sin,,,,,12,50156,0.004289370495826006,0.4669269919395447,0.005457571905259291,0-0,10.0,3.0,15.0,0.0,sin,,,,
True,True,10.0,5.0,15.0,0.0,leaky-relu,,,,,51,47372,0.0042358757928013,0.46390364,0.0054602036461741,0-0,10.0,5.0,15.0,0.0,leaky-relu,,,,
True,True,10.0,5.0,15.0,0.0,leaky-relu,,,,,54,87692,0.0041962130926549,0.45896363,0.0054846071114313,0-0,15.0,5.0,23.0,0.0,leaky-relu,,,,
True,True,15.0,5.0,23.0,0.0,leaky-relu,,,,,76,41756,0.0045265038497745,0.49031922,0.0055011272659813,0-0,10.0,2.0,15.0,0.0,leaky-relu,,,,
True,False,10.0,5.0,15.0,0.0,sin,5.0,60.0,0.0,sin,14,28688,0.004154659807682037,0.45555078983306885,0.005522593501698188,0-0,,,,,,,,,
True,False,5.0,3.0,8.0,0.0,leaky-relu,2.0,20.0,0.0,leaky-relu,83,3019,0.0041443235240876,0.45211968,0.0055638729466996,0-0,,,,,,,,,
True,True,10.0,5.0,15.0,0.0,leaky-relu,,,,,53,49052,0.0045646708458662,0.49784413,0.0055711883966067,0-0,15.0,3.0,23.0,0.0,leaky-relu,,,,
True,False,10.0,3.0,15.0,0.0,leaky-relu,3.0,20.0,0.0,leaky-relu,113,8488,0.0042920410633087,0.46787566,0.0055798205555145,0-0,,,,,,,,,
True,False,15.0,5.0,23.0,0.0,leaky-relu,3.0,60.0,0.0,leaky-relu,135,40952,0.0041933725588023,0.46099177,0.0055914965370544,0-0,,,,,,,,,
True,False,15.0,5.0,23.0,0.0,leaky-relu,2.0,20.0,0.0,leaky-relu,90,35812,0.0042479531839489,0.46765268,0.00563692001351,0-0,,,,,,,,,
True,False,10.0,5.0,15.0,0.0,sin,2.0,60.0,0.0,sin,7,17708,0.0040778471156954765,0.45101436972618103,0.005646991593642091,0-0,,,,,,,,,
True,False,10.0,5.0,15.0,0.0,leaky-relu,2.0,40.0,0.0,leaky-relu,96,16968,0.0043696868233382,0.48042965,0.0057005529470401,0-0,,,,,,,,,
True,True,10.0,5.0,15.0,0.0,leaky-relu,,,,,48,25217,0.0043090260587632,0.4727527,0.0057179204055986,0-0,5.0,5.0,8.0,0.0,leaky-relu,,,,
True,True,10.0,5.0,15.0,0.0,leaky-relu,,,,,47,20177,0.004506170284003,0.49239314,0.0057432224692616,0-0,5.0,3.0,8.0,0.0,leaky-relu,,,,
True,True,10.0,5.0,15.0,0.0,sin,,,,,1,47372,0.004337555728852749,0.47467541694641113,0.0057751663066964885,0-0,10.0,5.0,15.0,0.0,sin,,,,
True,False,5.0,5.0,8.0,0.0,sin,3.0,40.0,0.0,sin,18,7847,0.004329767543822527,0.47564011812210083,0.005775227095094367,0-0,,,,,,,,,
True,False,10.0,5.0,15.0,0.0,leaky-relu,3.0,60.0,0.0,leaky-relu,132,21368,0.0046125394292175,0.50290155,0.005797510652481,0-0,,,,,,,,,
True,False,10.0,5.0,15.0,0.0,leaky-relu,2.0,60.0,0.0,leaky-relu,105,17708,0.0045850304886698,0.49924538,0.0058020592355017,0-0,,,,,,,,,
True,False,5.0,5.0,8.0,0.0,leaky-relu,2.0,60.0,0.0,leaky-relu,102,6947,0.0044613853096961,0.49131125,0.0058074725531993,0-0,,,,,,,,,
True,True,10.0,3.0,15.0,0.0,leaky-relu,,,,,42,39212,0.0042839273810386,0.4683146,0.0058124865321787,0-0,10.0,5.0,15.0,0.0,leaky-relu,,,,
True,True,5.0,2.0,8.0,0.0,leaky-relu,,,,,1,3224,0.0042253942228853,0.4628391,0.0058140372814187,0-0,5.0,2.0,8.0,0.0,leaky-relu,,,,
True,False,15.0,5.0,23.0,0.0,sin,3.0,40.0,0.0,sin,16,38192,0.0043326327577233315,0.47568565607070923,0.005815774655540008,0-0,,,,,,,,,
True,False,10.0,5.0,15.0,0.0,leaky-relu,3.0,40.0,0.0,leaky-relu,123,18608,0.0042607518844306,0.4683013,0.0058180380313837,0-0,,,,,,,,,
True,True,5.0,5.0,8.0,0.0,sin,,,,,19,9416,0.0044456166215240955,0.4856240153312683,0.005843192655032165,0-0,5.0,3.0,8.0,0.0,sin,,,,
True,True,5.0,5.0,8.0,0.0,sin,,,,,8,14456,0.00453756470233202,0.49591612815856934,0.005867730766641736,0-0,5.0,5.0,8.0,0.0,sin,,,,
True,True,15.0,5.0,23.0,0.0,leaky-relu,,,,,75,44801,0.0046949535608291,0.51251554,0.0058709445739185,0-0,5.0,5.0,8.0,0.0,leaky-relu,,,,
True,True,5.0,3.0,8.0,0.0,leaky-relu,,,,,18,74483,0.0044279615394771,0.48164093,0.0058807124853476,0-0,15.0,5.0,23.0,0.0,leaky-relu,,,,
True,True,10.0,5.0,15.0,0.0,leaky-relu,,,,,49,22172,0.0043267104774713,0.47503576,0.0058873002865237,0-0,10.0,2.0,15.0,0.0,leaky-relu,,,,
True,True,10.0,3.0,15.0,0.0,leaky-relu,,,,,38,12017,0.0043023843318223,0.46974245,0.0058878007939612,0-0,5.0,3.0,8.0,0.0,leaky-relu,,,,
True,True,15.0,5.0,23.0,0.0,leaky-relu,,,,,73,37241,0.0046208570711314,0.5017157,0.0059147268599711,0-0,5.0,2.0,8.0,0.0,leaky-relu,,,,
True,False,5.0,5.0,8.0,0.0,leaky-relu,3.0,20.0,0.0,leaky-relu,111,5887,0.0044273557141423,0.49106935,0.0059384851712824,0-0,,,,,,,,,
True,False,10.0,5.0,15.0,0.0,leaky-relu,5.0,60.0,0.0,leaky-relu,159,28688,0.0044010649435222,0.48282844,0.0059486669133911,0-0,,,,,,,,,
