output_dim,hidden_dim,num_layer,dropout,num_param,mean_MAE,mean_MAPE,mean_RMSE
15,23,3,0.0,22184,0.007336021633818746,0.7945707,0.009974553054486924
6,9,3,0.0,8754,0.007377880314985911,0.799539,0.010184356004150056
3,5,3,0.0,6884,0.00750799694408973,0.8126747,0.010262547999822728
10,15,3,0.0,13208,0.007516940978045265,0.8162336,0.010300213335731214
10,15,2,0.2,9128,0.007451640286793311,0.80729455,0.010431351688089096
3,5,5,0.0,7904,0.007497072530289491,0.8145477,0.010463161596904955
15,23,2,0.0,12800,0.007714863944177826,0.83585864,0.010620371260201085
6,9,2,0.0,7224,0.007899825305988392,0.8523279,0.010703532271072272
6,9,2,0.1,7224,0.007893045200034976,0.85398555,0.010742657854250784
10,15,2,0.0,9128,0.007763153485332926,0.8364517,0.010769185104118778
15,23,5,0.0,40952,0.007898594485595822,0.85628456,0.010774516357777883
10,15,5,0.0,21368,0.007764943176880479,0.84518987,0.010861076154281857
15,23,2,0.2,12800,0.007946453833331665,0.8593321,0.010985831194882214
6,9,5,0.0,11814,0.008092184085398912,0.8781069,0.011138988354538538
10,15,2,0.1,9128,0.008002205130954584,0.8683092,0.011248560848059615
15,23,2,0.1,12800,0.008295556219915548,0.8965351,0.011499213760072272
6,9,2,0.2,7224,0.008173009225477776,0.88623494,0.011557675396786232
3,5,2,0.1,6374,0.009134024536858002,0.98821896,0.012496313740418754
3,5,2,0.2,6374,0.009072982473298907,0.98516417,0.012704873056021368
1,2,5,0.0,6323,0.009783412174632152,1.0619951,0.014255055652770196
3,5,2,0.0,6374,0.01069793151691556,1.1565295,0.014405528446884181
1,2,3,0.0,6119,0.0132800144298623,1.4329615,0.01725520897830813
1,2,2,0.0,6017,0.015278846879179278,1.6417389,0.019279710212340456
15,23,3,0.1,22184,0.015038302323470512,1.6205792,0.019338315008632125
1,2,2,0.2,6017,0.017652304377406836,1.8976895,0.02204729048363072
10,15,3,0.1,13208,0.017693872873981793,1.901691,0.022226702265448036
15,23,3,0.2,22184,0.017550167627632618,1.8802929,0.022710716047404673
10,15,3,0.2,13208,0.017182509570072096,1.859028,0.02280717064574193
6,9,3,0.1,8754,0.01978808656955759,2.1436768,0.025627413539064444
1,2,2,0.1,6017,0.019654612212131422,2.107858,0.02604757799236633
6,9,3,0.2,8754,0.022252288026114304,2.392367,0.027709106257959654
3,5,3,0.1,6884,0.023897108311454456,2.5674334,0.029632852112093502
1,2,3,0.1,6119,0.02575004876901706,2.7882197,0.03233221302562794
-1,-1,-1,-1.0,13662,0.02488881287475427,2.7106855,0.032604081929106764
3,5,3,0.2,6884,0.025997731524209183,2.8235552,0.0336082281950521
10,15,5,0.1,21368,0.02718319681783517,2.9401653,0.034324729115868105
15,23,5,0.1,40952,0.02690761846800645,2.9282167,0.0343800234594481
3,5,5,0.1,7904,0.028097021703918774,3.0446455,0.03549950108709479
1,2,3,0.2,6119,0.027967815287411213,3.0304604,0.035829254491487245
6,9,5,0.1,11814,0.028859564724067848,3.0984747,0.03611496782313286
6,9,5,0.2,11814,0.028179561408857506,3.0546134,0.036195084550044956
3,5,5,0.2,7904,0.028301945887506008,3.0678675,0.03653088893074438
10,15,5,0.2,21368,0.028909123813112576,3.139623,0.036678092864660866
1,2,5,0.1,6323,0.029922742396593094,3.248275,0.03729968914370462
15,23,5,0.2,40952,0.030489813536405563,3.292113,0.037334360731306054
1,2,5,0.2,6323,0.03143319487571716,3.397897,0.03914191467557463
