batch,output_dim,hidden_dim,num_layer,dropout,num_param,MAE,MAPE,RMSE
0-0,6,9,2,0.1,7224,0.004205342382192612,0.4596005,0.00520689513390493
0-0,10,15,5,0.0,21368,0.0039339251816272736,0.43539414,0.005530089868377419
0-0,6,9,3,0.0,8754,0.00436896039173007,0.47710574,0.005712352171000221
0-0,3,5,3,0.0,6884,0.0047680395655334,0.523211,0.006271319087545542
0-0,6,9,2,0.0,7224,0.0047745611518621445,0.51285636,0.00634859953803963
0-0,10,15,3,0.0,13208,0.004871278535574675,0.53239363,0.006502021403310842
0-0,3,5,5,0.0,7904,0.004818079061806202,0.5294551,0.00651999336700372
0-0,15,23,3,0.0,22184,0.0051316493190824986,0.5640546,0.006834971783322541
0-0,10,15,2,0.0,9128,0.005623502191156149,0.6048599,0.007129563054763835
0-0,15,23,2,0.0,12800,0.005249843467026949,0.5711952,0.007172432814054644
0-0,15,23,5,0.0,40952,0.005757792852818966,0.6248979,0.007253261408469213
0-0,10,15,2,0.2,9128,0.005711676087230444,0.6174154,0.00754438292135324
0-0,10,15,2,0.1,9128,0.005750489421188831,0.6240182,0.007558545163587407
0-0,6,9,2,0.2,7224,0.005840112455189228,0.6323298,0.007677332240102768
0-0,6,9,5,0.0,11814,0.0054176864214241505,0.5953185,0.007727084340569538
0-0,1,2,5,0.0,6323,0.005940520670264959,0.65619504,0.007755793888882007
0-0,1,2,3,0.0,6119,0.006388366688042879,0.6990566,0.008039581958780963
0-0,3,5,2,0.0,6374,0.007097096182405949,0.7598511,0.008553107207007424
0-0,15,23,2,0.2,12800,0.006387730129063129,0.69203347,0.008667032063755123
0-0,15,23,2,0.1,12800,0.006925076711922884,0.7420609,0.009152546317514299
0-0,3,5,2,0.2,6374,0.006865915842354298,0.7449368,0.00915995200141438
0-0,1,2,2,0.0,6017,0.007821766659617424,0.8394895,0.009484292179450906
0-0,3,5,2,0.1,6374,0.00827925093472004,0.88747126,0.009555199121558508
0-0,15,23,3,0.1,22184,0.010379856452345848,1.124576,0.012588426994337529
0-0,10,15,3,0.2,13208,0.012903239578008652,1.385083,0.0161496478123405
0-0,15,23,3,0.2,22184,0.013720155693590641,1.4731311,0.019641791391847015
0-0,10,15,3,0.1,13208,0.016529742628335953,1.8211232,0.02073741922802749
0-0,6,9,3,0.2,8754,0.01928386092185974,2.1003182,0.023009827657945757
0-0,1,2,2,0.2,6017,0.020332928746938705,2.1901944,0.02374071931990978
0-0,6,9,3,0.1,8754,0.018282059580087662,1.9983107,0.024180558060718407
0-0,3,5,3,0.1,6884,0.025054045021533966,2.7099714,0.029650802384486266
0-0,10,15,5,0.1,21368,0.021812934428453445,2.4502807,0.031972053536132965
0-0,6,9,5,0.2,11814,0.0275574978441,3.0234709,0.032239550083104224
0-0,1,2,2,0.1,6017,0.026619035750627518,2.8203278,0.03310763076316653
0-0,3,5,3,0.2,6884,0.027006013318896294,2.9656816,0.03478611371833982
0-0,1,2,3,0.1,6119,0.029059330001473427,3.1770985,0.03517790134285043
0-0,3,5,5,0.2,7904,0.030491044744849205,3.3141599,0.03597903391232469
0-0,1,2,3,0.2,6119,0.030081847682595253,3.2987938,0.0382909575143036
0-0,3,5,5,0.1,7904,0.02937367372214794,3.2624197,0.04049918477621714
0-0,15,23,5,0.1,40952,0.031193969771265984,3.474211,0.04137472637397924
0-0,6,9,5,0.1,11814,0.034646566957235336,3.7527437,0.0414754601775969
0-0,-1,-1,-1,-1.0,13662,0.030663592740893364,3.426087,0.041996265368624996
0-0,1,2,5,0.2,6323,0.038037534803152084,4.1437225,0.044537964009380655
0-0,10,15,5,0.2,21368,0.038210429251194,4.238534,0.04810492916013642
0-0,1,2,5,0.1,6323,0.037680044770240784,4.1902356,0.04827637069469095
0-0,15,23,5,0.2,40952,0.03844848647713661,4.264981,0.04845036770270928
